门类,大类,中类,小类,名称
D,45,,,燃气生产和供应业
D,,450,4500,燃气生产和供应业
D,46,,,水的生产和供应业
D,,461,4610,自来水生产和供应
D,,462,4620,污水处理及其再生利用
D,,469,4690,其他水的处理、利用与分配
E,,,,建筑业
E,47,,,房屋建筑业
E,,470,4700,房屋建筑业
E,48,,,土木工程建筑业
E,,481,,铁路、道路、隧道和桥梁工程建筑
E,,,4811,铁路工程建筑
E,,,4812,公路工程建筑
E,,,4813,市政道路工程建筑
E,,,4819,其他道路、隧道和桥梁工程建筑
E,,482,,水利和内河港口工程建筑
E,,,4821,水源及供水设施工程建筑
E,,,4822,河湖治理及防洪设施工程建筑
E,,,4823,港口及航运设施工程建筑
E,,483,4830,海洋工程建筑
E,,484,4840,工矿工程建筑
E,,485,,架线和管道工程建筑
E,,,4851,架线及设备工程建筑
E,,,4852,管道工程建筑
E,,489,4890,其他土木工程建筑
E,49,,,建筑安装业
E,,491,4910,电气安装
E,,492,4920,管道和设备安装
E,,499,4990,其他建筑安装业
E,50,,,建筑装饰和其他建筑业
E,,501,5010,建筑装饰业
E,,502,,工程准备活动
E,,,5021,建筑物拆除活动
E,,,5029,其他工程准备活动
E,,503,5030,提供施工设备服务
E,,509,5090,其他未列明建筑业
F,,,,批发和零售业
F,51,,,批发业
F,,511,,农、林、牧产品批发
F,,,5111,谷物、豆及薯类批发
F,,,5112,种子批发
F,,,5113,饲料批发
F,,,5114,棉、麻批发
F,,,5115,林业产品批发
F,,,5116,牲畜批发
F,,,5119,其他农牧产品批发
F,,512,,食品、饮料及烟草制品批发
F,,,5121,米、面制品及食用油批发
F,,,5122,糕点、糖果及糖批发
F,,,5123,果品、蔬菜批发
F,,,5124,肉、禽、蛋、奶及水产品批发
F,,,5125,盐及调味品批发
F,,,5126,营养和保健品批发
F,,,5127,酒、饮料及茶叶批发
F,,,5128,烟草制品批发
F,,,5129,其他食品批发
F,,513,,纺织、服装及家庭用品批发
F,,,5131,纺织品、针织品及原料批发
F,,,5132,服装批发
F,,,5133,鞋帽批发
F,,,5134,化妆品及卫生用品批发
F,,,5135,厨房、卫生间用具及日用杂货批发
F,,,5136,灯具、装饰物品批发
F,,,5137,家用电器批发
F,,,5139,其他家庭用品批发
F,,514,,文化、体育用品及器材批发
F,,,5141,文具用品批发
F,,,5142,体育用品及器材批发
F,,,5143,图书批发
F,,,5144,报刊批发
F,,,5145,音像制品及电子出版物批发
F,,,5146,首饰、工艺品及收藏品批发
F,,,5149,其他文化用品批发
F,,515,,医药及医疗器材批发
F,,,5151,西药批发
F,,,5152,中药批发
F,,,5153,医疗用品及器材批发
F,,516,,矿产品、建材及化工产品批发
F,,,5161,煤炭及制品批发
F,,,5162,石油及制品批发
F,,,5163,非金属矿及制品批发
F,,,5164,金属及金属矿批发
F,,,5165,建材批发
F,,,5166,化肥批发
F,,,5167,农药批发
F,,,5168,农用薄膜批发
F,,,5169,其他化工产品批发
F,,517,,机械设备、五金产品及电子产品批发
F,,,5171,农业机械批发
F,,,5172,汽车批发
F,,,5173,汽车零配件批发
F,,,5174,摩托车及零配件批发
F,,,5175,五金产品批发
F,,,5176,电气设备批发
F,,,5177,计算机、软件及辅助设备批发
F,,,5178,通讯及广播电视设备批发
F,,,5179,其他机械设备及电子产品批发
F,,518,,贸易经纪与代理
F,,,5181,贸易代理
F,,,5182,拍卖
F,,,5189,其他贸易经纪与代理
F,,519,,其他批发业
F,,,5191,再生物资回收与批发
F,,,5199,其他未列明批发业
F,52,,,零售业
F,,521,,综合零售
F,,,5211,百货零售
F,,,5212,超级市场零售
F,,,5219,其他综合零售
F,,522,,食品、饮料及烟草制品专门零售
F,,,5221,粮油零售
F,,,5222,糕点、面包零售
F,,,5223,果品、蔬菜零售
F,,,5224,肉、禽、蛋、奶及水产品零售
F,,,5225,营养和保健品零售
F,,,5226,酒、饮料及茶叶零售
F,,,5227,烟草制品零售
F,,,5229,其他食品零售
F,,523,,纺织、服装及日用品专门零售
F,,,5231,纺织品及针织品零售
F,,,5232,服装零售
F,,,5233,鞋帽零售
F,,,5234,化妆品及卫生用品零售
F,,,5235,钟表、眼镜零售
F,,,5236,箱、包零售
F,,,5237,厨房用具及日用杂品零售
F,,,5238,自行车零售
F,,,5239,其他日用品零售
F,,524,,文化、体育用品及器材专门零售
F,,,5241,文具用品零售
F,,,5242,体育用品及器材零售
F,,,5243,图书、报刊零售
F,,,5244,音像制品及电子出版物零售
F,,,5245,珠宝首饰零售
F,,,5246,工艺美术品及收藏品零售
F,,,5247,乐器零售
F,,,5248,照相器材零售
F,,,5249,其他文化用品零售
F,,525,,医药及医疗器材专门零售
F,,,5251,药品零售
F,,,5252,医疗用品及器材零售
F,,526,,汽车、摩托车、零配件和燃料及其他动力销售
F,,,5261,汽车新车零售
F,,,5262,汽车旧车零售
F,,,5263,汽车零配件零售
F,,,5264,机动车燃料零售
F,,527,,家用电器及电子产品专门零售
F,,,5271,家用视听设备零售
F,,,5272,日用家电设备零售
F,,,5273,计算机、软件及辅助设备零售
F,,,5274,通信设备零售
F,,,5279,其他电子产品零售
F,,528,,五金、家具及室内装饰材料专门零售
F,,,5281,五金零售
F,,,5282,灯具零售
F,,,5283,家具零售
F,,,5284,涂料零售
F,,,5285,卫生洁具零售
F,,,5286,木质装饰材料零售
F,,,5287,陶瓷、石材装饰材料零售
F,,,5289,其他室内装饰材料零售
F,,529,,货摊、无店铺及其他零售业
F,,,5291,货摊食品零售
F,,,5292,货摊纺织、服装及鞋零售
F,,,5293,货摊日用品零售
F,,,5294,互联网零售
F,,,5295,邮购及电视、电话零售
F,,,5296,旧货零售
F,,,5297,生活用燃料零售
F,,,5299,其他未列明零售业
G,,,,交通运输、仓储和邮政业
G,53,,,铁路运输业
G,,531,5310,铁路旅客运输
G,,532,5320,铁路货物运输
G,,533,,铁路运输辅助活动
G,,,5331,客运火车站
G,,,5332,货运火车站
G,,,5339,其他铁路运输辅助活动
G,54,,,道路运输业
G,,541,,城市公共交通运输
G,,,5411,公共电汽车客运
G,,,5412,城市轨道交通
G,,,5413,出租车客运
G,,,5419,其他城市公共交通运输
G,,542,5420,公路旅客运输
G,,543,5430,道路货物运输
G,,544,,道路运输辅助活动
G,,,5441,客运汽车站
G,,,5442,公路管理与养护
G,,,5449,其他道路运输辅助活动
G,55,,,水上运输业
G,,551,,水上旅客运输
G,,,5511,海洋旅客运输
G,,,5512,内河旅客运输
G,,,5513,客运轮渡运输
G,,552,,水上货物运输
G,,,5521,远洋货物运输
G,,,5522,沿海货物运输
G,,,5523,内河货物运输
G,,553,,水上运输辅助活动
G,,,5531,客运港口
G,,,5532,货运港口
G,,,5539,其他水上运输辅助活动
G,56,,,航空运输业
G,,561,,航空客货运输
G,,,5611,航空旅客运输
G,,,5612,航空货物运输
G,,562,5620,通用航空服务
G,,563,,航空运输辅助活动
G,,,5631,机场
G,,,5632,空中交通管理
G,,,5639,其他航空运输辅助活动
G,57,,,管道运输业
G,,570,5700,管道运输业
G,58,,,装卸搬运和运输代理业
G,,581,5810,装卸搬运
G,,582,,运输代理业
G,,,5821,货物运输代理
G,,,5822,旅客票务代理
G,,,5829,其他运输代理业
G,59,,,仓储业
G,,591,,谷物、棉花等农产品仓储
G,,,5911,谷物仓储
G,,,5912,棉花仓储
G,,,5919,其他农产品仓储
G,,599,5990,其他仓储业
G,60,,,邮政业
G,,601,6010,邮政基本服务
G,,602,6020,快递服务
H,,,,住宿和餐饮业
H,61,,,住宿业
H,,611,6110,旅游饭店
H,,612,6120,一般旅馆
H,,619,6190,其他住宿业
H,62,,,餐饮业
H,,621,6210,正餐服务
H,,622,6220,快餐服务
H,,623,,饮料及冷饮服务
H,,,6231,茶馆服务
H,,,6232,咖啡馆服务
H,,,6233,酒吧服务
H,,,6239,其他饮料及冷饮服务
H,,629,,其他餐饮业
H,,,6291,小吃服务
H,,,6292,餐饮配送服务
H,,,6299,其他未列明餐饮业
I,,,,信息传输、软件和信息技术服务业
I,63,,,电信、广播电视和卫星传输服务
I,,631,,电信
I,,,6311,固定电信服务
I,,,6312,移动电信服务
I,,,6319,其他电信服务
I,,632,,广播电视传输服务
I,,,6321,有线广播电视传输服务
I,,,6322,无线广播电视传输服务
I,,633,6330,卫星传输服务
I,64,,,互联网和相关服务
I,,641,6410,互联网接入及相关服务
I,,642,6420,互联网信息服务
I,,649,6490,其他互联网服务
I,65,,,软件和信息技术服务业
I,,651,6510,软件开发
I,,652,6520,信息系统集成服务
I,,653,6530,信息技术咨询服务
I,,654,6540,数据处理和存储服务
I,,655,6550,集成电路设计
I,,659,,其他信息技术服务业
I,,,6591,数字内容服务
I,,,6592,呼叫中心
I,,,6599,其他未列明信息技术服务业
J,,,,金融业
J,66,,,货币金融服务
J,,661,6610,中央银行服务
J,,662,6620,货币银行服务
J,,663,,非货币银行服务
J,,,6631,金融租赁服务
J,,,6632,财务公司
J,,,6633,典当
J,,,6639,其他非货币银行服务
J,,664,6640,银行监管服务
J,67,,,资本市场服务
J,,671,,证券市场服务
J,,,6711,证券市场管理服务
J,,,6712,证券经纪交易服务
J,,,6713,基金管理服务
J,,672,,期货市场服务
J,,,6721,期货市场管理服务
J,,,6729,其他期货市场服务
J,,673,6730,证券期货监管服务
J,,674,6740,资本投资服务
J,,679,6790,其他资本市场服务
J,68,,,保险业
J,,681,,人身保险
J,,,6811,人寿保险
J,,,6812,健康和意外保险
J,,682,6820,财产保险
J,,683,6830,再保险
J,,684,6840,养老金
J,,685,6850,保险经纪与代理服务
J,,686,6860,保险监管服务
J,,689,,其他保险活动
J,,,6891,风险和损失评估
J,,,6899,其他未列明保险活动
J,69,,,其他金融业
J,,691,6910,金融信托与管理服务
J,,692,6920,控股公司服务
J,,693,6930,非金融机构支付服务
J,,694,6940,金融信息服务
J,,699,6990,其他未列明金融业
K,,,,房地产业
K,70,,,房地产业
K,,701,7010,房地产开发经营
K,,702,7020,物业管理
K,,703,7030,房地产中介服务
K,,704,7040,自有房地产经营活动
K,,709,7090,其他房地产业
L,,,,租赁和商务服务业
L,71,,,租赁业
L,,711,,机械设备租赁
L,,,7111,汽车租赁
L,,,7112,农业机械租赁
L,,,7113,建筑工程机械与设备租赁
L,,,7114,计算机及通讯设备租赁
L,,,7119,其他机械与设备租赁
L,,712,,文化及日用品出租
L,,,7121,娱乐及体育设备出租
L,,,7122,图书出租
L,,,7123,音像制品出租
L,,,7129,其他文化及日用品出租
L,72,,,商务服务业
L,,721,,企业管理服务
L,,,7211,企业总部管理
L,,,7212,投资与资产管理
L,,,7213,单位后勤管理服务
L,,,7219,其他企业管理服务
L,,722,,法律服务
L,,,7221,律师及相关法律服务
L,,,7222,公证服务
L,,,7229,其他法律服务
L,,723,,咨询与调查
L,,,7231,会计、审计及税务服务
L,,,7232,市场调查
L,,,7233,社会经济咨询
L,,,7239,其他专业咨询
L,,724,7240,广告业
L,,725,7250,知识产权服务
L,,726,,人力资源服务
L,,,7261,公共就业服务
L,,,7262,职业中介服务
L,,,7263,劳务派遣服务
L,,,7269,其他人力资源服务
L,,727,,旅行社及相关服务
L,,,7271,旅行社服务
L,,,7272,旅游管理服务
L,,,7279,其他旅行社相关服务
L,,728,,安全保护服务
L,,,7281,安全服务
L,,,7282,安全系统监控服务
L,,,7289,其他安全保护服务
L,,729,,其他商务服务业
L,,,7291,市场管理
L,,,7292,会议及展览服务
L,,,7293,包装服务
L,,,7294,办公服务
L,,,7295,信用服务
L,,,7296,担保服务
L,,,7299,其他未列明商务服务业
M,,,,科学研究和技术服务业
M,73,,,研究和试验发展
M,,731,7310,自然科学研究和试验发展
M,,732,7320,工程和技术研究和试验发展
M,,733,7330,农业科学研究和试验发展
M,,734,7340,医学研究和试验发展
M,,735,7350,社会人文科学研究
M,74,,,专业技术服务业
M,,741,7410,气象服务
M,,742,7420,地震服务
M,,743,7430,海洋服务
M,,744,7440,测绘服务
M,,745,7450,质检技术服务
M,,746,,环境与生态监测
M,,,7461,环境保护监测
M,,,7462,生态监测
M,,747,,地质勘查
M,,,7471,能源矿产地质勘查
M,,,7472,固体矿产地质勘查
M,,,7473,水、二氧化碳等矿产地质勘查
M,,,7474,基础地质勘查
M,,,7475,地质勘查技术服务
M,,748,,工程技术
M,,,7481,工程管理服务
M,,,7482,工程勘察设计
M,,,7483,规划管理
M,,749,,其他专业技术服务业
M,,,7491,专业化设计服务
M,,,7492,摄影扩印服务
M,,,7493,兽医服务
M,,,7499,其他未列明专业技术服务业
M,75,,,科技推广和应用服务业
M,,751,,技术推广服务
M,,,7511,农业技术推广服务
M,,,7512,生物技术推广服务
M,,,7513,新材料技术推广服务
M,,,7514,节能技术推广服务
M,,,7519,其他技术推广服务
M,,752,7520,科技中介服务
M,,759,7590,其他科技推广和应用服务业
N,,,,水利、环境和公共设施管理业
N,76,,,水利管理业
N,,761,7610,防洪除涝设施管理
N,,762,7620,水资源管理
N,,763,7630,天然水收集与分配
N,,764,7640,水文服务
N,,769,7690,其他水利管理业
N,77,,,生态保护和环境治理业
N,,771,,生态保护
N,,,7711,自然保护区管理
N,,,7712,野生动物保护
N,,,7713,野生植物保护
N,,,7719,其他自然保护
N,,772,,环境治理业
N,,,7721,水污染治理
N,,,7722,大气污染治理
N,,,7723,固体废物治理
N,,,7724,危险废物治理
N,,,7725,放射性废物治理
N,,,7729,其他污染治理
N,78,,,公共设施管理业
N,,781,7810,市政设施管理
N,,782,7820,环境卫生管理
N,,783,7830,城乡市容管理
N,,784,7840,绿化管理
N,,785,,公园和游览景区管理
N,,,7851,公园管理
N,,,7852,游览景区管理
O,,,,居民服务、修理和其他服务业
O,79,,,居民服务业
O,,791,7910,家庭服务
O,,792,7920,托儿所服务
O,,793,7930,洗染服务
O,,794,7940,理发及美容服务
O,,795,7950,洗浴服务
O,,796,7960,保健服务
O,,797,7970,婚姻服务
O,,798,7980,殡葬服务
O,,799,7990,其他居民服务业
O,80,,,机动车、电子产品和日用产品修理业
O,,801,,汽车、摩托车修理与维护
O,,,8011,汽车修理与维护
O,,,8012,摩托车修理与维护
O,,802,,计算机和办公设备维修
O,,,8021,计算机和辅助设备修理
O,,,8022,通讯设备修理
O,,,8029,其他办公设备维修
O,,803,,家用电器修理
O,,,8031,家用电子产品修理
O,,,8032,日用电器修理
O,,809,,其他日用产品修理业
O,,,8091,自行车修理
O,,,8092,鞋和皮革修理
O,,,8093,家具和相关物品修理
O,,,8099,其他未列明日用产品修理业
O,81,,,其他服务业
O,,811,,清洁服务
O,,,8111,建筑物清洁服务
O,,,8119,其他清洁服务
O,,819,8190,其他未列明服务业
P,,,,教育
P,82,,,教育
P,,821,8210,学前教育
P,,822,,初等教育
P,,,8221,普通小学教育
P,,,8222,成人小学教育
P,,823,,中等教育
P,,,8231,普通初中教育
P,,,8232,职业初中教育
P,,,8233,成人初中教育
P,,,8234,普通高中教育
P,,,8235,成人高中教育
P,,,8236,中等职业学校教育
P,,824,,高等教育
P,,,8241,普通高等教育
P,,,8242,成人高等教育
P,,825,8250,特殊教育
P,,829,,技能培训、教育辅助及其他教育
P,,,8291,职业技能培训
P,,,8292,体校及体育培训
P,,,8293,文化艺术培训
P,,,8294,教育辅助服务
P,,,8299,其他未列明教育
Q,,,,卫生和社会工作
Q,83,,,卫生
Q,,831,,医院
Q,,,8311,综合医院
Q,,,8312,中医医院
Q,,,8313,中西医结合医院
Q,,,8314,民族医院
Q,,,8315,专科医院
Q,,,8316,疗养院
Q,,832,,社区医疗与卫生院
Q,,,8321,社区卫生服务中心（站）
Q,,,8322,街道卫生院
Q,,,8323,乡镇卫生院
Q,,833,8330,门诊部（所）
Q,,834,8340,计划生育技术服务活动
Q,,835,8350,妇幼保健院（所、站）
Q,,836,8360,专科疾病防治院（所、站）
Q,,837,8370,疾病预防控制中心
Q,,839,8390,其他卫生活动
Q,84,,,社会工作
Q,,841,,提供住宿社会工作
Q,,,8411,干部休养所
Q,,,8412,护理机构服务
Q,,,8413,精神康复服务
Q,,,8414,老年人、残疾人养护服务
Q,,,8415,孤残儿童收养和庇护服务
Q,,,8419,其他提供住宿社会救助
Q,,842,,不提供住宿社会工作
Q,,,8421,社会看护与帮助服务
Q,,,8429,其他不提供住宿社会工作
R,,,,文化、体育和娱乐业
R,85,,,新闻和出版业
R,,851,8510,新闻业
R,,852,,出版业
R,,,8521,图书出版
R,,,8522,报纸出版
R,,,8523,期刊出版
R,,,8524,音像制品出版
R,,,8525,电子出版物出版
R,,,8529,其他出版业
R,86,,,广播、电视、电影和影视录音制作业
R,,861,8610,广播
R,,862,8620,电视
R,,863,8630,电影和影视节目制作
R,,864,8640,电影和影视节目发行
R,,865,8650,电影放映
R,,866,8660,录音制作
R,87,,,文化艺术业
R,,871,8710,文艺创作与表演
R,,872,8720,艺术表演场馆
R,,873,,图书馆与档案馆
R,,,8731,图书馆
R,,,8732,档案馆
R,,874,8740,文物及非物质文化遗产保护
R,,875,8750,博物馆
R,,876,8760,烈士陵园、纪念馆
R,,877,8770,群众文化活动
R,,879,8790,其他文化艺术业
R,88,,,体育
R,,881,8810,体育组织
R,,882,8820,体育场馆
R,,883,8830,休闲健身活动
R,,889,8890,其他体育
R,89,,,娱乐业
R,,891,,室内娱乐活动
R,,,8911,歌舞厅娱乐活动
R,,,8912,电子游艺厅娱乐活动
R,,,8913,网吧活动
R,,,8919,其他室内娱乐活动
R,,892,8920,游乐园
R,,893,8930,彩票活动
R,,894,,文化、娱乐、体育经纪代理
R,,,8941,文化娱乐经纪人
R,,,8942,体育经纪人
R,,,8949,其他文化艺术经纪代理
R,,899,8990,其他娱乐业
S,,,,公共管理、社会保障和社会组织
S,90,,,中国共产党机关
S,,900,9000,中国共产党机关
S,91,,,国家机构
S,,911,9110,国家权力机构
S,,912,,国家行政机构
S,,,9121,综合事务管理机构
S,,,9122,对外事务管理机构
S,,,9123,公共安全管理机构
S,,,9124,社会事务管理机构
S,,,9125,经济事务管理机构
S,,,9126,行政监督检查机构
S,,913,,人民法院和人民检察院
S,,,9131,人民法院
S,,,9132,人民检察院
S,,919,9190,其他国家机构
S,92,,,人民政协、民主党派
S,,921,9210,人民政协
S,,922,9220,民主党派
S,93,,,社会保障
S,,930,9300,社会保障
S,94,,,群众团体、社会团体和其他成员组织
S,,941,,群众团体
S,,,9411,工会
S,,,9412,妇联
S,,,9413,共青团
S,,,9419,其他群众团体
S,,942,,社会团体
S,,,9421,专业性团体
S,,,9422,行业性团体
S,,,9429,其他社会团体
S,,943,9430,基金会
S,,944,9440,宗教组织
S,95,,,基层群众自治组织
S,,951,9510,社区自治组织
S,,952,9520,村民自治组织
T,,,,国际组织
T,96,,,国际组织
T,,960,9600,国际组织
